,map,lang,speaker,text,nouns
33,1,eng,bot,"ooh, that sounds risky but i'll do it. i'm crossing the rocks and moving past the big black rock",the big black rock
34,1,eng,bot,i see the alligator now. going over it,the alligator
35,1,eng,bot,"all right, mate","all right, mate"
36,1,eng,bot,i've made it past the alligator. what's next on this adventure?,the alligator
37,1,eng,bot,i've made it past the alligator. what's next on this adventure?,this adventure
38,1,eng,human,ok walk forward to the middle of the island and then pass the frog and circle back toward the rocks that are past the frog and then cross those to get to the next island,the middle
39,1,eng,human,ok walk forward to the middle of the island and then pass the frog and circle back toward the rocks that are past the frog and then cross those to get to the next island,the island
40,1,eng,human,ok walk forward to the middle of the island and then pass the frog and circle back toward the rocks that are past the frog and then cross those to get to the next island,the frog
41,1,eng,human,ok walk forward to the middle of the island and then pass the frog and circle back toward the rocks that are past the frog and then cross those to get to the next island,the rocks
42,1,eng,human,ok walk forward to the middle of the island and then pass the frog and circle back toward the rocks that are past the frog and then cross those to get to the next island,the frog
43,1,eng,human,ok walk forward to the middle of the island and then pass the frog and circle back toward the rocks that are past the frog and then cross those to get to the next island,the next island
44,1,eng,bot,"passing the frog, heading back to the rocks",the frog
45,1,eng,bot,"passing the frog, heading back to the rocks",the rocks
46,1,eng,human,"once you get to the next island, take a left and go around the trees, pass the elephant and take a right toward the log that connects to the next island",the next island
47,1,eng,human,"once you get to the next island, take a left and go around the trees, pass the elephant and take a right toward the log that connects to the next island",a left
48,1,eng,human,"once you get to the next island, take a left and go around the trees, pass the elephant and take a right toward the log that connects to the next island",the trees
49,1,eng,human,"once you get to the next island, take a left and go around the trees, pass the elephant and take a right toward the log that connects to the next island",the elephant
50,1,eng,human,"once you get to the next island, take a left and go around the trees, pass the elephant and take a right toward the log that connects to the next island",a right
51,1,eng,human,"once you get to the next island, take a left and go around the trees, pass the elephant and take a right toward the log that connects to the next island",the log
52,1,eng,human,"once you get to the next island, take a left and go around the trees, pass the elephant and take a right toward the log that connects to the next island",the next island
53,1,eng,bot,"hey, i'm at the next island. taking a left and going around the trees now",the next island
54,1,eng,bot,"hey, i'm at the next island. taking a left and going around the trees now",a left
55,1,eng,bot,"hey, i'm at the next island. taking a left and going around the trees now",the trees
56,1,eng,bot,now pass the elephant. and taking a right toward the log. gotcha,the elephant
57,1,eng,bot,now pass the elephant. and taking a right toward the log. gotcha,a right
58,1,eng,bot,now pass the elephant. and taking a right toward the log. gotcha,the log
59,1,eng,human,cross the log and walk directly forward past the big rock and the tiger and you will see another log that will take you to the last island and the end,the log
60,1,eng,human,cross the log and walk directly forward past the big rock and the tiger and you will see another log that will take you to the last island and the end,the big rock
61,1,eng,human,cross the log and walk directly forward past the big rock and the tiger and you will see another log that will take you to the last island and the end,the tiger
62,1,eng,human,cross the log and walk directly forward past the big rock and the tiger and you will see another log that will take you to the last island and the end,another log
63,1,eng,human,cross the log and walk directly forward past the big rock and the tiger and you will see another log that will take you to the last island and the end,the last island
64,1,eng,human,cross the log and walk directly forward past the big rock and the tiger and you will see another log that will take you to the last island and the end,end
65,1,eng,bot,"crossing the log, walking straight past the big rock and the tiger",the log
66,1,eng,bot,"crossing the log, walking straight past the big rock and the tiger",the big rock
67,1,eng,bot,"crossing the log, walking straight past the big rock and the tiger",the tiger
68,2,eng,bot,"great! start by heading left, going under the wooden bench. cross the trail towards the florist stand. but don't go all the way to the stand",the wooden bench
69,2,eng,bot,"great! start by heading left, going under the wooden bench. cross the trail towards the florist stand. but don't go all the way to the stand",the trail
70,2,eng,bot,"great! start by heading left, going under the wooden bench. cross the trail towards the florist stand. but don't go all the way to the stand",florist
71,2,eng,bot,"great! start by heading left, going under the wooden bench. cross the trail towards the florist stand. but don't go all the way to the stand",way
72,2,eng,bot,"great! start by heading left, going under the wooden bench. cross the trail towards the florist stand. but don't go all the way to the stand",the stand
73,2,eng,bot,"make a cool u-turn back towards our furry friend, the white dog. crossing the trail again. you're doing awesome!",a cool u
74,2,eng,bot,"make a cool u-turn back towards our furry friend, the white dog. crossing the trail again. you're doing awesome!",-
75,2,eng,bot,"make a cool u-turn back towards our furry friend, the white dog. crossing the trail again. you're doing awesome!",our furry friend
76,2,eng,bot,"make a cool u-turn back towards our furry friend, the white dog. crossing the trail again. you're doing awesome!",the white dog
77,2,eng,bot,"make a cool u-turn back towards our furry friend, the white dog. crossing the trail again. you're doing awesome!",the trail
78,2,eng,human,I am sitting next to the dog,the dog
79,2,eng,bot,"fantastic! now, let's change direction. cross over the branch, and keep heading south",direction
80,2,eng,bot,"fantastic! now, let's change direction. cross over the branch, and keep heading south",the branch
81,2,eng,bot,"you'll spot another white dog chilling by a checkered picnic mat. keep on this path, you're doing great!",another white dog
82,2,eng,bot,"you'll spot another white dog chilling by a checkered picnic mat. keep on this path, you're doing great!",a checkered picnic mat
83,2,eng,bot,"you'll spot another white dog chilling by a checkered picnic mat. keep on this path, you're doing great!",this path
84,2,eng,human,ok I am past the checker board,the checker board
85,2,eng,bot,"awesome! next, keep heading west, stepping over that mat and touching the bowl of berries",west
86,2,eng,bot,"awesome! next, keep heading west, stepping over that mat and touching the bowl of berries",that mat
87,2,eng,bot,"awesome! next, keep heading west, stepping over that mat and touching the bowl of berries",the bowl
88,2,eng,bot,"awesome! next, keep heading west, stepping over that mat and touching the bowl of berries",berries
89,2,eng,bot,savour the moment. it's a scenic route!,the moment
90,2,eng,bot,savour the moment. it's a scenic route!,a scenic route
91,2,eng,human,which log do I cross there are two of them,which log
92,2,eng,bot,"oh, forgot to mention, pick the north one",the north
93,2,eng,bot,"cross that wooden branch over the river and keep going, buddy!",that wooden branch
94,2,eng,bot,"cross that wooden branch over the river and keep going, buddy!",the river
95,2,eng,human,do I cross the bridge,the bridge
96,2,eng,bot,"nah, avoid the bridge for now",the bridge
97,2,eng,bot,"instead, take a detour around the green bush from the right side, keeping it close until you reach the florist stand. you're doing really well!",a detour
98,2,eng,bot,"instead, take a detour around the green bush from the right side, keeping it close until you reach the florist stand. you're doing really well!",the right side
99,2,eng,bot,"instead, take a detour around the green bush from the right side, keeping it close until you reach the florist stand. you're doing really well!",florist
100,2,eng,human,I think I went the wrong way. I am behind the bridge in front of the flower stand,way
101,2,eng,human,I think I went the wrong way. I am behind the bridge in front of the flower stand,the bridge
102,2,eng,human,I think I went the wrong way. I am behind the bridge in front of the flower stand,front
103,2,eng,human,I think I went the wrong way. I am behind the bridge in front of the flower stand,the flower
104,2,eng,bot,"no worries! from the flower stand, turn left and move below the stand",no worries
105,2,eng,bot,"no worries! from the flower stand, turn left and move below the stand",the flower stand
106,2,eng,bot,"no worries! from the flower stand, turn left and move below the stand",the stand
107,2,eng,bot,"keep going until you spot a big bridge with two people riding bicycles. don't cross the bridge though, just pass it",a big bridge
108,2,eng,bot,"keep going until you spot a big bridge with two people riding bicycles. don't cross the bridge though, just pass it",two people
109,2,eng,bot,"keep going until you spot a big bridge with two people riding bicycles. don't cross the bridge though, just pass it",bicycles
110,2,eng,bot,"keep going until you spot a big bridge with two people riding bicycles. don't cross the bridge though, just pass it",the bridge
111,2,eng,human,Ok I am behind the flower stand,the flower
112,2,eng,bot,perfect! now head slightly south after the bridge until you see two elderly folks on a bench,the bridge
113,2,eng,bot,perfect! now head slightly south after the bridge until you see two elderly folks on a bench,two elderly folks
114,2,eng,bot,perfect! now head slightly south after the bridge until you see two elderly folks on a bench,a bench
115,2,eng,human,I am very confused. I am on the opposide island from the old people,the opposide island
116,2,eng,human,I am very confused. I am on the opposide island from the old people,the old people
117,2,eng,bot,oops! my bad. just go a few steps south of the old folks,oops
118,2,eng,bot,oops! my bad. just go a few steps south of the old folks,my bad
119,2,eng,bot,oops! my bad. just go a few steps south of the old folks,a few steps
120,2,eng,bot,oops! my bad. just go a few steps south of the old folks,the old folks
121,2,eng,bot,you'll be between them and a wooden branch. you're doing great!,a wooden branch
122,2,eng,human,ok now I am between the elderly people and the branch,the elderly people
123,2,eng,human,ok now I am between the elderly people and the branch,the branch
124,2,eng,bot,"awesome! keeping going, you will reach a green bush next to the end of the wooden branch",a green bush
125,2,eng,bot,"awesome! keeping going, you will reach a green bush next to the end of the wooden branch",the end
126,2,eng,bot,"awesome! keeping going, you will reach a green bush next to the end of the wooden branch",the wooden branch
127,2,eng,bot,"next, squeeze between the wooden branch and the bush, heading east",the wooden branch
128,2,eng,bot,"next, squeeze between the wooden branch and the bush, heading east",east
129,3,es,bot,"hey, q tal? empezamos el juego?",tal
130,3,es,bot,"hey, q tal? empezamos el juego?",el juego
131,3,eng,bot,awesome! i'm at this tent up north on the map,this tent
132,3,eng,bot,awesome! i'm at this tent up north on the map,the map
133,3,eng,bot,there's a dog chilling by a fire to the south. where should i head first?,a dog
134,3,eng,bot,there's a dog chilling by a fire to the south. where should i head first?,a fire
135,3,eng,bot,there's a dog chilling by a fire to the south. where should i head first?,the south
136,3,eng,human,Ok are you in a tent,a tent
137,3,eng,bot,"yes, i'm at the tent",the tent
138,3,eng,bot,should i start heading south towards the dog and the fire?,the dog
139,3,eng,bot,should i start heading south towards the dog and the fire?,the fire
140,3,eng,human,ok walk forward past the dog and take a left around the fire ,the dog
141,3,eng,human,ok walk forward past the dog and take a left around the fire ,a left
142,3,eng,human,ok walk forward past the dog and take a left around the fire ,the fire
143,3,eng,bot,"okay, passing by the dog",the dog
144,3,eng,bot,there's a red mushroom here to my right. is that where i'm supposed to go?,a red mushroom
145,3,eng,bot,there's a red mushroom here to my right. is that where i'm supposed to go?,my right
146,3,eng,human,once past the fire walk past the mushrooms sticking to the edge of the gras and the road,the fire walk
147,3,eng,human,once past the fire walk past the mushrooms sticking to the edge of the gras and the road,the mushrooms
148,3,eng,human,once past the fire walk past the mushrooms sticking to the edge of the gras and the road,the edge
149,3,eng,human,once past the fire walk past the mushrooms sticking to the edge of the gras and the road,the gras
150,3,eng,human,once past the fire walk past the mushrooms sticking to the edge of the gras and the road,the road
151,3,eng,bot,"got it, walking past the mushroom now, following the edge of the grass and the road",the mushroom
152,3,eng,bot,"got it, walking past the mushroom now, following the edge of the grass and the road",the edge
153,3,eng,bot,"got it, walking past the mushroom now, following the edge of the grass and the road",the grass
154,3,eng,bot,"got it, walking past the mushroom now, following the edge of the grass and the road",the road
155,3,eng,bot,a blue car and a blue telescope are up ahead. which one's my next stop?,a blue car
156,3,eng,bot,a blue car and a blue telescope are up ahead. which one's my next stop?,a blue telescope
157,3,eng,bot,a blue car and a blue telescope are up ahead. which one's my next stop?,which one
158,3,eng,bot,a blue car and a blue telescope are up ahead. which one's my next stop?,my next stop
159,3,eng,human,once past the mushroom you will hang a sharp right iand take the curve around to the telescope,the mushroom
160,3,eng,human,once past the mushroom you will hang a sharp right iand take the curve around to the telescope,a sharp right iand
161,3,eng,human,once past the mushroom you will hang a sharp right iand take the curve around to the telescope,the curve
162,3,eng,human,once past the mushroom you will hang a sharp right iand take the curve around to the telescope,the telescope
163,3,eng,bot,"sharp right, got it",right
164,3,eng,bot,now i'm at the telescope. should i keep going south?,the telescope
165,3,eng,human,once you reach the telescope take a right and go around in front of it and walk forward until you reach the rocks and then the house is your destination,the telescope
166,3,eng,human,once you reach the telescope take a right and go around in front of it and walk forward until you reach the rocks and then the house is your destination,a right
167,3,eng,human,once you reach the telescope take a right and go around in front of it and walk forward until you reach the rocks and then the house is your destination,front
168,3,eng,human,once you reach the telescope take a right and go around in front of it and walk forward until you reach the rocks and then the house is your destination,the rocks
169,3,eng,human,once you reach the telescope take a right and go around in front of it and walk forward until you reach the rocks and then the house is your destination,the house
170,3,eng,human,once you reach the telescope take a right and go around in front of it and walk forward until you reach the rocks and then the house is your destination,your destination
171,3,eng,bot,perfect! doing a right round the telescope now,a right round
172,3,eng,bot,perfect! doing a right round the telescope now,the telescope
173,3,eng,bot,i see those rocks and the wooden house up ahead. almost there,those rocks
174,3,eng,bot,i see those rocks and the wooden house up ahead. almost there,the wooden house
175,3,eng,human,did you reach the house,the house
176,3,eng,bot,"yes, i'm here! reached the wooden house",the wooden house
177,3,eng,bot,guess this game's over. *finished*,this game
178,4,eng,human,Hi! I am at the palm trees and I see a dog ahead,the palm trees
179,4,eng,human,Hi! I am at the palm trees and I see a dog ahead,a dog
180,4,eng,bot,great! start by heading south-west under that first palm tree,south-west
181,4,eng,bot,great! start by heading south-west under that first palm tree,that first palm tree
182,4,eng,bot,"turn right and you'll go past another tree. before you get to the third tree, make a sharp left and keep heading south",another tree
183,4,eng,bot,"turn right and you'll go past another tree. before you get to the third tree, make a sharp left and keep heading south",the third tree
184,4,eng,bot,"turn right and you'll go past another tree. before you get to the third tree, make a sharp left and keep heading south",a sharp left
185,4,eng,human,south to which landmark,landmark
186,4,eng,bot,you'll see a cute brown puppy,a cute brown puppy
187,4,eng,bot,"go left of him, then tweak your path a bit to the left, and finally turn right heading south",your path
188,4,eng,bot,"go left of him, then tweak your path a bit to the left, and finally turn right heading south",bit
189,4,eng,bot,"go left of him, then tweak your path a bit to the left, and finally turn right heading south",the left
190,4,eng,human,Ok I am to the rock below the dog,the rock
191,4,eng,human,Ok I am to the rock below the dog,the dog
192,4,eng,bot,"cool! now, head between that big rock on your left and smaller one on your right","now, head"
193,4,eng,bot,"cool! now, head between that big rock on your left and smaller one on your right",that big rock
194,4,eng,bot,"cool! now, head between that big rock on your left and smaller one on your right",smaller one
195,4,eng,bot,"cool! now, head between that big rock on your left and smaller one on your right",your right
196,4,eng,bot,you'll reach the water. easy peasy!,the water
197,4,eng,human,ok I have reached the crab is that it?,the crab
198,4,eng,bot,"not quite! go right, staying close to that big rock and continue west, but stay in the water",that big rock
199,4,eng,bot,"not quite! go right, staying close to that big rock and continue west, but stay in the water",west
200,4,eng,bot,"not quite! go right, staying close to that big rock and continue west, but stay in the water",the water
201,4,eng,human,ok i am between the shark and the ball,the shark
202,4,eng,human,ok i am between the shark and the ball,the ball
203,4,eng,bot,"okay cool, next you're gonna make a sharp right turn away from that shark",a sharp right turn
204,4,eng,bot,"okay cool, next you're gonna make a sharp right turn away from that shark",that shark
205,4,eng,bot,"great, now head back to the land, and go between the medium rock and that multicolored ball",the land
206,4,eng,bot,"great, now head back to the land, and go between the medium rock and that multicolored ball",the medium rock
207,4,eng,bot,"great, now head back to the land, and go between the medium rock and that multicolored ball",that multicolored ball
208,4,eng,human,ok i am directly behind the ball on the sand,the ball
209,4,eng,human,ok i am directly behind the ball on the sand,the sand
210,4,eng,bot,"awesome! now, tweak your path slightly to the left and head towards the north-west direction",your path
211,4,eng,bot,"awesome! now, tweak your path slightly to the left and head towards the north-west direction",the left
212,4,eng,bot,"awesome! now, tweak your path slightly to the left and head towards the north-west direction",the north-west direction
213,4,eng,human,ok I now see a kayak and a tent,a kayak
214,4,eng,human,ok I now see a kayak and a tent,a tent
215,4,eng,bot,sweet! now head between that red tent on your left and the big speaker on your right,that red tent
216,4,eng,bot,sweet! now head between that red tent on your left and the big speaker on your right,the big speaker
217,4,eng,bot,sweet! now head between that red tent on your left and the big speaker on your right,your right
218,4,eng,human,which one do I head toward,which one
219,4,eng,bot,"neatly circle around the tent and head south, but just before you touch the water, go right and slide under that red kayak",the tent
220,4,eng,bot,"neatly circle around the tent and head south, but just before you touch the water, go right and slide under that red kayak",head
221,4,eng,bot,"neatly circle around the tent and head south, but just before you touch the water, go right and slide under that red kayak",the water
222,4,eng,bot,"neatly circle around the tent and head south, but just before you touch the water, go right and slide under that red kayak",that red kayak
223,1,eng,bot,awesome! i'm at the starting point,the starting point
224,1,es,bot,"hay una ramita a mi izquierda que conduce a una isla con un tigre. ¿Adónde vamos ahora, capitán?",una ramita
225,1,es,bot,"hay una ramita a mi izquierda que conduce a una isla con un tigre. ¿Adónde vamos ahora, capitán?",mi izquierda
226,1,es,bot,"hay una ramita a mi izquierda que conduce a una isla con un tigre. ¿Adónde vamos ahora, capitán?",una isla
227,1,es,bot,"hay una ramita a mi izquierda que conduce a una isla con un tigre. ¿Adónde vamos ahora, capitán?",un tigre
228,1,es,bot,"hay una ramita a mi izquierda que conduce a una isla con un tigre. ¿Adónde vamos ahora, capitán?",", capitán"
229,1,es,human,empezamos con el mapa,el mapa
230,1,eng,bot,I have a tiger to my left on a small island. Am I heading there?,a tiger
231,1,eng,bot,I have a tiger to my left on a small island. Am I heading there?,my left
232,1,eng,bot,I have a tiger to my left on a small island. Am I heading there?,a small island
233,1,eng,bot,cool! i'm now on the tiger's island,the tiger's island
234,1,es,human,cruza la ramita hacia el loro,la ramita
235,1,es,human,cruza la ramita hacia el loro,el loro
236,1,eng,bot,Now I see a large parrot serving as my guide. Whats Next?,parrot
237,1,eng,bot,Now I see a large parrot serving as my guide. Whats Next?,my guide
238,1,eng,human,circle around the parrot to end at the rock path to the next island,the parrot
239,1,eng,human,circle around the parrot to end at the rock path to the next island,the rock path
240,1,eng,human,circle around the parrot to end at the rock path to the next island,the next island
241,1,eng,bot,done! i've circled around mr,mr
242,1,es,bot,"loro y estoy mirando el camino rocoso hacia la siguiente isla. ¿Desde aquí hacia dónde, amigo?",loro
243,1,es,bot,"loro y estoy mirando el camino rocoso hacia la siguiente isla. ¿Desde aquí hacia dónde, amigo?",el camino rocoso
244,1,es,bot,"loro y estoy mirando el camino rocoso hacia la siguiente isla. ¿Desde aquí hacia dónde, amigo?",la siguiente isla
245,1,es,bot,"loro y estoy mirando el camino rocoso hacia la siguiente isla. ¿Desde aquí hacia dónde, amigo?",", amigo"
246,1,es,human,pasa al lado de la rana hacia el arbol verde,lado de la rana
247,1,es,human,pasa al lado de la rana hacia el arbol verde,el arbol verde
248,1,eng,bot,"alright, i see the frog",the frog
249,1,eng,bot,i'm walking toward the tree now,the tree
250,1,eng,human,walk back from the green tree next to the brown tree,the green tree
251,1,eng,human,walk back from the green tree next to the brown tree,the brown tree
252,1,eng,bot,"got it! walked back, now next to this shady brown tree",this shady brown tree
253,1,es,bot,¿dirección?,¿dirección
254,1,eng,human,cross over the crocodile towards the large black rock,the crocodile
255,1,eng,human,cross over the crocodile towards the large black rock,the large black rock
256,1,eng,bot,"ok, just crossed over past the croc - felt a little adventurous, ha! at the big black rock now",croc
257,1,eng,bot,"ok, just crossed over past the croc - felt a little adventurous, ha! at the big black rock now",the big black rock
258,1,eng,human,walk over the 2 gray rocks,the 2 gray rocks
259,1,eng,bot,done! i'm at the end of the gray rocks route,the end
260,1,eng,bot,done! i'm at the end of the gray rocks route,the gray rocks
261,1,es,bot,"¿Y ahora qué, jefe?",", jefe"
262,1,eng,human,"avoid the giraffe, get to the last branch",the giraffe
263,1,eng,human,"avoid the giraffe, get to the last branch",the last branch
264,1,eng,bot,"ok, this giraffe is dodged and i'm at the last branch now!",this giraffe
265,1,eng,bot,"ok, this giraffe is dodged and i'm at the last branch now!",the last branch
266,1,eng,human,cross over the python and reach the chest,the python
267,1,eng,human,cross over the python and reach the chest,the chest
268,1,eng,bot,"whoa, just crossed over the python, got my heart racing a bit there! i see the treasure chest now",the python
269,1,eng,bot,"whoa, just crossed over the python, got my heart racing a bit there! i see the treasure chest now",my heart
270,1,eng,bot,"whoa, just crossed over the python, got my heart racing a bit there! i see the treasure chest now",bit
271,1,eng,bot,"whoa, just crossed over the python, got my heart racing a bit there! i see the treasure chest now",the treasure chest
272,1,es,bot,*finalizado*,*finalizado
273,1,es,bot,*finalizado*,*
274,2,eng,bot,"alright, let's start! first, take a few steps west, cross that trail near the wooden bench",steps
275,2,eng,bot,"alright, let's start! first, take a few steps west, cross that trail near the wooden bench",west
276,2,eng,bot,"alright, let's start! first, take a few steps west, cross that trail near the wooden bench",that trail
277,2,eng,bot,"alright, let's start! first, take a few steps west, cross that trail near the wooden bench",the wooden bench
278,2,eng,human,crossed the path,the path
279,2,eng,bot,"nice! now perform a u-turn, 180 degrees to your left and cross that trail again",a u
280,2,eng,bot,"nice! now perform a u-turn, 180 degrees to your left and cross that trail again",-
281,2,eng,bot,"nice! now perform a u-turn, 180 degrees to your left and cross that trail again",turn
282,2,eng,bot,"nice! now perform a u-turn, 180 degrees to your left and cross that trail again",degrees
283,2,eng,bot,"nice! now perform a u-turn, 180 degrees to your left and cross that trail again",your left
284,2,eng,bot,"nice! now perform a u-turn, 180 degrees to your left and cross that trail again",that trail
285,2,eng,bot,head back towards where our white dog buddy is sitting,our white dog buddy
286,2,eng,human,back on the other side,the other side
287,2,eng,bot,"perfect! now, move south, passing over the branch",the branch
288,2,es,bot,Sigue moviéndote hasta que veas otro perro blanco. ¿Lo ves a el?,otro perro blanco
289,2,eng,human,near the white dog,the white dog
290,2,eng,bot,"cool! from there, continue west over the picnic mat, brushing up next to the berry bowl",the picnic mat
291,2,eng,bot,"cool! from there, continue west over the picnic mat, brushing up next to the berry bowl",the berry bowl
292,2,eng,human,next to the bowl,the bowl
293,2,eng,bot,great! move towards the northern direction and cross the river again using the branch,move
294,2,eng,bot,great! move towards the northern direction and cross the river again using the branch,the northern direction
295,2,eng,bot,great! move towards the northern direction and cross the river again using the branch,the river
296,2,eng,bot,great! move towards the northern direction and cross the river again using the branch,the branch
297,2,eng,human,at the bush,the bush
298,2,eng,bot,"nice one! now circle that green bush to your right, but don’t touch it! keep going until you see a florist stand",your right
299,2,eng,bot,"nice one! now circle that green bush to your right, but don’t touch it! keep going until you see a florist stand",a florist
300,2,eng,human,at the flowers,the flowers
301,2,eng,bot,"excellent! now, make a left and head west, giving the stand a wave as you pass it under",a left and head west
302,2,eng,bot,"excellent! now, make a left and head west, giving the stand a wave as you pass it under",the stand
303,2,eng,bot,"excellent! now, make a left and head west, giving the stand a wave as you pass it under",a wave
304,2,es,bot,"Luego, avanza hacia el gran puente.",el gran puente
305,2,eng,human,at the bridge,the bridge
306,2,eng,bot,"brilliant! now just keep going past the bridge, roght up until you spot two elders",the bridge
307,2,eng,bot,"brilliant! now just keep going past the bridge, roght up until you spot two elders",two elders
308,2,eng,human,behind the bench,the bench
309,2,eng,bot,"fantastic! move a few steps south now, just in between that old couple’s bench and the wooden branch ahead",a few steps
310,2,eng,bot,"fantastic! move a few steps south now, just in between that old couple’s bench and the wooden branch ahead",that old couple’s bench
311,2,eng,bot,"fantastic! move a few steps south now, just in between that old couple’s bench and the wooden branch ahead",the wooden branch
312,2,es,bot,¡Deberías terminar junto a un arbusto verde!,junto a un arbusto verde
313,2,eng,bot,"good job! now, start moving east, continue to keep the branch and the bush beside each other",good job
314,2,eng,bot,"good job! now, start moving east, continue to keep the branch and the bush beside each other",the branch
315,3,eng,bot,"so i'm at the north, there's a tent in front of me",the north
316,3,eng,bot,"so i'm at the north, there's a tent in front of me",a tent
317,3,eng,bot,"so i'm at the north, there's a tent in front of me",front
318,3,es,bot,"¿Adónde debo dirigirme ahora, amigo?",", amigo"
319,3,eng,human,"head to the tan trail, stay between the rocks an the 2 bushes",the rocks
320,3,eng,human,"head to the tan trail, stay between the rocks an the 2 bushes",bushes
321,3,eng,bot,"alright, walking down the tan trail between those rocks and bushes",the tan trail
322,3,eng,bot,"alright, walking down the tan trail between those rocks and bushes",those rocks
323,3,eng,bot,"alright, walking down the tan trail between those rocks and bushes",bushes
324,3,eng,human,stay on the trail until the campfire,the trail
325,3,eng,human,stay on the trail until the campfire,the campfire
326,3,eng,bot,"oki, staying on track",track
327,3,es,bot,Acabo de pasar al perro sentado cerca de la fogata. ¿a dónde me dirijo ahora?,perro
328,3,es,bot,Acabo de pasar al perro sentado cerca de la fogata. ¿a dónde me dirijo ahora?,la fogata
329,3,eng,human,go around the campfire avoiding the dog and the bush,the campfire
330,3,eng,human,go around the campfire avoiding the dog and the bush,the dog
331,3,eng,human,go around the campfire avoiding the dog and the bush,the bush
332,3,eng,bot,"sorted, i've passed the fire and avoided the dog and bush",the fire
333,3,eng,bot,"sorted, i've passed the fire and avoided the dog and bush",the dog
